"Subject","Pairing","Context","ContextOrder","Familiar","Song","Distort","Actual","SubTrial","Orig_IBI","Orig_SD","T2_Tries","T1_Tries","GMSI_Gen","GMSI_E","GMSI_SA","GMSI_MT","GMSI_PA","GMSI_AE","ContextC","FamiliarC","OrderC","GroupC","GMSI_Gen_Z","GMSI_PA_Z","GMSI_AE_Z","GMSI_MT_Z","GMSI_SA_Z","GMSI_E_Z","GMSI_Gen_hi","GMSI_Gen_lo"
1,"SUFFSlowFirst","Fast","slow fast",1,"Lets Get It Started",-12,571,13,572.45,47.24,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Lets Get It Started",-6,571,6,513.92,45.95,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Lets Get It Started",0,571,7,547.73,40.5,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Lets Get It Started",6,571,10,575.18,38.45,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Lets Get It Started",12,571,9,548.27,40.31,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Lets Get It Started",18,571,8,518.58,53.96,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Lets Get It Started",24,571,12,551.82,41.35,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Lets Get It Started",27,571,14,545.64,53.73,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Lets Get It Started",30,571,11,552.91,34.58,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"My Name Is",-12,698,12,676.11,39.63,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"My Name Is",-6,698,6,698.33,28,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"My Name Is",0,698,13,677.44,67.47,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"My Name Is",6,698,7,649.1,39.96,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"My Name Is",12,698,10,646.7,61.12,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"My Name Is",18,698,11,679,44.56,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"My Name Is",24,698,8,704.78,62.31,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"My Name Is",27,698,14,638.2,69.2,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"My Name Is",30,698,9,705.67,54.51,2,2,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Poker Face",-12,504,6,463.08,43.25,3,1,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Poker Face",-6,504,11,460.36,38.37,3,1,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Poker Face",0,504,8,497.31,40.65,3,1,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Poker Face",6,504,7,493.15,48.71,3,1,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Poker Face",12,504,9,477.69,81.17,3,1,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Poker Face",18,504,10,473.31,40.72,3,1,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Poker Face",24,504,14,465.54,48.54,3,1,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Poker Face",27,504,13,494.15,45.97,3,1,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Fast","slow fast",1,"Poker Face",30,504,12,481.46,54.51,3,1,57,31,26,10,41,22,1,1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Electric Chapel",-30,469,8,475.77,26.58,1,1,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Electric Chapel",-27,469,7,465.31,23.29,1,1,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Electric Chapel",-24,469,10,475.62,45.33,1,1,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Electric Chapel",-18,469,9,474.46,27.01,1,1,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Electric Chapel",-12,469,12,464.54,109.75,1,1,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Electric Chapel",-6,469,11,466.69,46.33,1,1,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Electric Chapel",0,469,6,447.14,31.84,1,1,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Electric Chapel",6,469,14,455.36,71.61,1,1,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Electric Chapel",12,469,13,447.64,52.23,1,1,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
1,"SUFFSlowFirst","Slow","slow fast",0,"Rock Bottom",-30,652,9,594.36,73.23,1,4,57,31,26,10,41,22,-1,-1,1,1,-0.745834303000185,-0.568736454201428,-1.29014704361398,-1.17260181265599,-0.326213597692072,-0.19820694280964,-1.74583430300019,0.254165696999815
