"Subject","Order","Context","Song","Distort","IBI","SD_IBI","Tries","GMSI_AE","GMSI_PA","GMSI_MT","GMSI_SA","GMSI_E","GMSI_Gen","GMSI_AE_Z","GMSI_PA_Z","GMSI_MT_Z","GMSI_SA_Z","GMSI_E_Z","GMSI_Gen_Z","Actual"
1,"J1T2","slow","Electric Chapel",-30,695.33,55.43,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,469
1,"J1T2","slow","Electric Chapel",-27,608.7,335.41,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,469
1,"J1T2","slow","Electric Chapel",-24,695,284.77,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,469
1,"J1T2","slow","Electric Chapel",-18,503.75,45.63,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,469
1,"J1T2","slow","Electric Chapel",-12,365.59,150.72,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,469
1,"J1T2","slow","Electric Chapel",-6,493.23,40.73,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,469
1,"J1T2","slow","Electric Chapel",0,481,12.88,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,469
1,"J1T2","slow","Electric Chapel",6,581.4,629.54,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,469
1,"J1T2","slow","Electric Chapel",12,723.91,688.98,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,469
1,"J1T2","slow","Rock Bottom",-30,802,398.84,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,652
1,"J1T2","slow","Rock Bottom",-27,808.78,356.05,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,652
1,"J1T2","slow","Rock Bottom",-24,846.13,33.49,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,652
1,"J1T2","slow","Rock Bottom",-18,677.22,175.42,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,652
1,"J1T2","slow","Rock Bottom",-12,1053.86,711.11,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,652
1,"J1T2","slow","Rock Bottom",-6,668.8,33.61,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,652
1,"J1T2","slow","Rock Bottom",0,565.55,119.82,6,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008,652
