"Subject","Order","Context","Song","Distort","jdgmt","faster","GMSI_AE","GMSI_PA","GMSI_MT","GMSI_SA","GMSI_E","GMSI_Gen","GMSI_AE_Z","GMSI_PA_Z","GMSI_MT_Z","GMSI_SA_Z","GMSI_E_Z","GMSI_Gen_Z"
1,"J1T2","slow","Electric Chapel",-30,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Electric Chapel",-27,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Electric Chapel",-24,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Electric Chapel",-18,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Electric Chapel",-12,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Electric Chapel",-6,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Electric Chapel",0,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Electric Chapel",6,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Electric Chapel",12,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Rock Bottom",-30,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Rock Bottom",-27,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Rock Bottom",-24,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Rock Bottom",-18,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Rock Bottom",-12,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Rock Bottom",-6,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Rock Bottom",0,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Rock Bottom",6,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","Rock Bottom",12,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","The Boogie That Be",-30,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","The Boogie That Be",-27,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","The Boogie That Be",-24,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","The Boogie That Be",-18,2,0,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","The Boogie That Be",-12,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
1,"J1T2","slow","The Boogie That Be",-6,1,1,50,40,12,32,33,74,1.29279259787386,-0.942949992018155,-0.910222117519656,0.386532463588229,-0.0397888426845025,0.0509540997881008
